"Row ID";"Order ID";"Order Date";"Ship Date";"Ship Mode";"Customer ID";"Customer Name";"Segment";"City";"State";"Country";"Postal Code";"Market";"Region";"Product ID";"Category";"Sub-Category";"Product Name";"Sales";"Quantity";"Discount";"Profit";"Shipping Cost";"Order Priority"
"32298";"CA-2012-124891";"31-07-2012";"31-07-2012";"Same Day";"RH-19495";"Rick Hansen";"Consumer";"New York City";"New York";"United States";"10024.0";"US";"East";"TEC-AC-10003033";"Technology";"Accessories";"Plantronics CS510 - Over-the-Head monaural Wireless Headset System";"2309.65";"7";"0.0";"762.1845";"933.57";"Critical"
"26341";"IN-2013-77878";"05-02-2013";"07-02-2013";"Second Class";"JR-16210";"Justin Ritter";"Corporate";"Wollongong";"New South Wales";"Australia";"";"APAC";"Oceania";"FUR-CH-10003950";"Furniture";"Chairs";"Novimex Executive Leather Armchair, Black";"3709.395";"9";"0.1";"-288.765";"923.63";"Critical"
"25330";"IN-2013-71249";"17-10-2013";"18-10-2013";"First Class";"CR-12730";"Craig Reiter";"Consumer";"Brisbane";"Queensland";"Australia";"";"APAC";"Oceania";"TEC-PH-10004664";"Technology";"Phones";"Nokia Smart Phone, with Caller ID";"5175.170999999999";"9";"0.1";"919.971";"915.49";"Medium"
"13524";"ES-2013-1579342";"28-01-2013";"30-01-2013";"First Class";"KM-16375";"Katherine Murray";"Home Office";"Berlin";"Berlin";"Germany";"";"EU";"Central";"TEC-PH-10004583";"Technology";"Phones";"Motorola Smart Phone, Cordless";"2892.51";"5";"0.1";"-96.54";"910.16";"Medium"
"47221";"SG-2013-4320";"05-11-2013";"06-11-2013";"Same Day";"RH-9495";"Rick Hansen";"Consumer";"Dakar";"Dakar";"Senegal";"";"Africa";"Africa";"TEC-SHA-10000501";"Technology";"Copiers";"Sharp Wireless Fax, High-Speed";"2832.96";"8";"0.0";"311.52";"903.04";"Critical"
"22732";"IN-2013-42360";"28-06-2013";"01-07-2013";"Second Class";"JM-15655";"Jim Mitchum";"Corporate";"Sydney";"New South Wales";"Australia";"";"APAC";"Oceania";"TEC-PH-10000030";"Technology";"Phones";"Samsung Smart Phone, with Caller ID";"2862.675";"5";"0.1";"763.275";"897.35";"Critical"
"30570";"IN-2011-81826";"07-11-2011";"09-11-2011";"First Class";"TS-21340";"Toby Swindell";"Consumer";"Porirua";"Wellington";"New Zealand";"";"APAC";"Oceania";"FUR-CH-10004050";"Furniture";"Chairs";"Novimex Executive Leather Armchair, Adjustable";"1822.08";"4";"0.0";"564.84";"894.77";"Critical"
"31192";"IN-2012-86369";"14-04-2012";"18-04-2012";"Standard Class";"MB-18085";"Mick Brown";"Consumer";"Hamilton";"Waikato";"New Zealand";"";"APAC";"Oceania";"FUR-TA-10002958";"Furniture";"Tables";"Chromcraft Conference Table, Fully Assembled";"5244.84";"6";"0.0";"996.48";"878.38";"High"
"40155";"CA-2014-135909";"14-10-2014";"21-10-2014";"Standard Class";"JW-15220";"Jane Waco";"Corporate";"Sacramento";"California";"United States";"95823.0";"US";"West";"OFF-BI-10003527";"Office Supplies";"Binders";"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind";"5083.96";"5";"0.2";"1906.485";"867.69";"Low"
"40936";"CA-2012-116638";"28-01-2012";"31-01-2012";"Second Class";"JH-15985";"Joseph Holt";"Consumer";"Concord";"North Carolina";"United States";"28027.0";"US";"South";"FUR-TA-10000198";"Furniture";"Tables";"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases";"4297.644";"13";"0.4";"-1862.3124";"865.74";"Critical"
